"duplication","loss","speciation","sploss","wgd","wgdloss"
2784.461999999996,0.0,3842.8640000000078,2631.597999999988,0.0,0.0
1034.6130000000012,2395.0749999999975,5114.0,0.0,0.0,0.0
19.61100000000005,236.5229999999989,3432.5359999999982,2825.013999999991,0.0,0.0
1909.7320000000004,0.0,6337.0,0.0,0.0,0.0
1765.8830000000007,6869.461999999998,3858.119000000005,4904.567999999978,0.0,0.0
203.22199999999987,4904.567999999978,4854.0,0.0,0.0,0.0
96.91200000000084,5997.777,1805.5269999999969,8447.288000000008,0.0,0.0
1085.1359999999984,7642.804999999989,4257.845999999998,4812.678999999985,0.0,0.0
248.816,0.0,5383.0,0.0,0.0,0.0
8.692999999999975,7622.575999999989,1695.8390000000009,7102.053999999984,0.0,0.0
293.73199999999963,0.0,5580.0,0.0,0.0,0.0
237.53599999999992,7102.053999999984,5445.0,0.0,0.0,0.0
289.4749999999996,0.0,5595.000000000001,0.0,0.0,0.0
1670.315000000004,2825.013999999991,0.0,0.0,63.67099999999999,6869.461999999998
106.81200000000065,0.0,0.0,0.0,2079.062999999995,5997.777
1061.279999999997,8447.288000000008,0.0,0.0,171.29200000000017,7642.804999999989
11.70099999999997,4812.678999999985,0.0,0.0,583.3119999999989,7622.575999999989
