MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total
N2,96.3556046383214,3.64439536167863,1745,66,1811
N3,43.595825426945,56.404174573055,919,1189,2108
N4,97.5194897236003,2.48051027639972,1376,35,1411
N5,60.8771929824561,39.1228070175439,347,223,570
N6,92.6680244399185,7.33197556008147,455,36,491
