MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total
N2,96.3556046383214%,3.64439536167863%,1745,66,1811
N3,43.595825426945%,56.404174573055%,919,1189,2108
N4,93.9249146757679%,6.07508532423208%,1376,89,1465
N5,44.7164948453608%,55.2835051546392%,347,429,776
N6,78.236914600551%,21.763085399449%,568,158,726
