"τ","U_1_1","U_2_1","U_1_2","U_2_2","r_1_1","r_2_1","r_1_2","r_2_2","r_1_3","r_2_3","r_1_4","r_2_4","r_1_5","r_2_5","r_1_6","r_2_6","r_1_7","r_2_7","r_1_8","r_2_8","r_1_9","r_2_9","r_1_10","r_2_10","r_1_11","r_2_11","r_1_12","r_2_12","r_1_13","r_2_13","q_1","q_2","q_3","q_4"
1.3412745297239177,1.0,0.0,-0.5567929116279253,0.8306513429597868,-1.027335267544587,0.563641125740342,-1.7890589801198475,0.42942155051605685,-3.06406117324139,3.581205343395738,0.11479985425372287,-1.6044541457062995,-0.08507921675022583,-0.780344598374215,-1.1798251917918032,-0.1006101483308121,-1.6060841967299637,-0.6902933012736747,-0.026937602517669648,0.5807641112614765,-0.30513356440676004,0.08181135573671071,-2.5739743666643427,-0.25315989590478816,-0.34593922757858026,-0.29499572780424876,-0.342641411759097,-0.11654113014944459,-0.6381466497918464,-0.49705138200604965,0.2675458014862033,0.0008771094711131707,0.04272043693912449,0.00022556598482193697
0.8374312124545201,1.0,0.0,-0.6447281628298438,0.7644119282520744,-0.9917836064470937,-0.09438473510388365,-1.6274412767037294,0.42962345105079175,-3.8721251605413585,3.574766802429158,0.1270656179593041,-1.5852688972172133,-0.0882491884564696,-0.8826833615107591,-1.219012467273727,-0.04834719863935857,-2.2811575174154752,-0.5488680599526851,0.05468208433706134,0.45545943130540884,-0.37644802380079223,0.06323592279843755,-2.3550117868900484,-0.137150007211934,-0.41770087097439607,-0.21927928591866558,-0.3921673589164282,-0.009440133544066427,-0.5941795530694663,-0.27067389018653093,0.3015289206175159,0.004194137311127145,0.06160618051636775,0.0002644533353083052
0.8865572806449012,1.0,0.0,-0.5374290534414481,0.8433089662259196,-1.2164941840485506,0.07617583288622508,-1.9205833016477214,0.46079538072995785,-3.7093062924889706,3.6246637013418215,0.046882545774558915,-1.670597983766319,-0.01279064712528669,-0.8839488650233268,-1.2546195640233049,-0.05992830534974084,-2.212941162447176,-0.38908451784057146,-0.23232624941109203,0.5276608395867993,-0.4178718591982003,0.09461996894344925,-1.5819998249714233,-0.42090087066654325,-0.3637307174937799,-0.19070092857485327,-0.3987789102423606,-0.0618020781489483,-0.5715862827255994,-0.3198378753820424,0.2700943578321295,0.001956457299578703,0.06480904810864827,0.0008861386901100951
1.5698847637559008,1.0,0.0,-0.8302325397763546,0.5574171955515042,-1.2989319834773878,0.019618962437460932,-1.6917454638019376,0.46127806011448264,-3.8021142993014476,3.5865249664446157,0.17016760750983229,-1.5900968374817182,-0.10614868991709207,-0.8591655587464272,-1.1457495812652967,-0.08343225675120965,-1.4523973478730499,-0.693380000945071,-0.1929618941178603,0.46876252893818154,-0.2614998813798036,0.07894710442870573,-3.210035786894421,-0.38167033284904467,-0.35271286494020276,-0.26023255822558417,-0.3229968558880064,-0.04846668447379063,-0.6412816205105786,-0.4211508076689136,0.2770921918976712,0.0002885452098952216,0.05893322001319356,0.0005873902695820767
1.1895760740192258,1.0,0.0,-0.472651076862442,0.8812496578954081,-2.016404245386819,0.6871977909721351,-1.8822848992552803,0.3632633473641725,-4.640001506058058,3.5383319636399775,0.08890115640345576,-1.5473678085127072,-0.2160397002200727,-0.9633409072266064,-1.2875886713295304,-0.013713428016692345,-2.1111984510833235,-0.2106860174892468,-0.10195472169730936,0.5498843196538604,-0.44579576345614935,0.08535882166902534,-1.4407759610914659,0.23710843092194814,-0.3742692772395709,-0.21437525796980647,-0.42119683618027043,-0.06980098352347108,-0.5953382428061184,-0.3465429894745875,0.29653416163128055,0.0006619618317515901,0.055710099769289166,0.00021830664070952694
1.8218833563952006,1.0,0.0,-0.09118029655656901,0.9958344006509597,-0.8292751043293087,-0.9495529639830589,-1.7383710427264114,0.5163123701668527,-3.7536293953098943,3.628393041093615,0.16228705411248107,-1.6285482196448784,-0.012337986671454393,-0.7766432735501175,-1.1339288685578899,-0.11171010762095661,-2.3174895132658735,-0.8370213948910858,-0.14003848035777627,0.4925938078103721,-0.24719220149488486,0.06166673693898238,-2.2364363049163516,-1.0651539663965968,-0.3317692884482679,-0.22962479308418893,-0.3390180625331722,-0.017614672058098108,-0.6160279385385368,-0.3850356385904849,0.24758584887519947,0.0019301602961689748,0.05592972013336757,0.00028120451275853074
1.4861582109962561,1.0,0.0,-0.5534826003264419,0.8328607393411459,-1.158874345519855,-0.4596383223590871,-1.603116615947914,0.4537890696520602,-2.8294874749915104,3.5634641204641855,0.10630998624429333,-1.6111357355314526,0.15011630597494877,-0.8751511871521215,-1.3095014292617928,-0.05722593942575913,-3.267309195780584,-0.5914801632601182,-0.025840888512177956,0.499460834169996,-0.35266097110850236,0.0980421883789223,-2.7356468875284325,-1.1578797833039505,-0.3086807589903095,-0.2623284270535306,-0.3725611755457739,-0.0952757448681828,-0.6053746565339775,-0.3791913693420093,0.26471696911308595,0.0028032517067372877,0.05086529012658974,0.001319614931269126
1.1953280410823357,1.0,0.0,-0.4670021661258821,0.8842561714988106,-0.8040647779348461,-0.17378615715534546,-2.0152378746709876,0.38689523822482075,-4.248049965150559,3.6079766869703533,0.15712827777113322,-1.4327807447167316,-0.2868099042881077,-0.7820663716453794,-1.0835781640390414,-0.07108432686449394,-1.6479909232934273,-0.435117106537792,0.12488631115902862,0.5084401495167526,-0.2676465413819016,0.0688828744903971,-3.420539784653517,0.1487897469328708,-0.39690988468095656,-0.2346869428862819,-0.40353879203533904,-0.032237505812409174,-0.5669119643697433,-0.3754236866914839,0.2832070796114489,0.0030517961919655215,0.036920221352148896,0.0018493303817251373
1.2965849139196344,1.0,0.0,-0.7725753084884125,0.6349231392176806,-1.2056194166634857,0.0748167986362049,-1.627492722292173,0.45139220384152545,-4.684637125047617,3.5293075207398936,0.13659929769945744,-1.3856841440506313,-0.0916614049376906,-0.968227014907545,-1.254232309951113,-0.03817867246723651,-2.135618574857072,-0.7165081691088054,0.0766048573554835,0.47664943641978674,-0.3578494884575732,0.09211082368998658,-2.4146077096995193,-0.09371231816749938,-0.3395568963168244,-0.334283159282443,-0.3234120192796407,-0.034209126789476844,-0.588940386329518,-0.38001178300182864,0.29091586059354846,0.0003777595866471403,0.04238341853748263,0.00037939812029729554
1.3713857982566031,1.0,0.0,-0.8023881480559945,0.5968025300375925,-1.2053502869678525,0.12685312949039038,-1.630757839961692,0.5254587466184878,-5.776956383561581,3.6232425004790905,0.18100088879359003,-1.4667059618595777,-0.11191708720495123,-0.697757711691875,-1.1508285717209312,-0.04216509086700956,-1.2536157486477433,-0.5225506063416,-0.0989640675557033,0.5686065285893083,-0.28514914833160165,0.06394295152782094,-2.4192308891997776,0.050096124512849866,-0.3166128933024473,-0.23396054536601515,-0.4256259082413546,-0.10319321994136932,-0.6035667574705733,-0.4058538298734465,0.26993101448249107,0.00022051977748447835,0.05178652246605134,0.0011124218193183295
