,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,q1,q2,q3,q4,q5,q6,q7,nu,eta,prior,lhood
12.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.09565,0.01070,0.29186,0.01603,0.23449,0.06659,0.37035,0.1,0.8337634549279296,117.84351023948888,-284.75014088253687
13.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.09565,0.20803,0.11233,0.06671,0.60137,0.07100,0.14246,0.1,0.8362875982553307,117.84351023948888,-286.2193239011858
14.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.04923,0.32385,0.07063,0.12717,0.60607,0.00985,0.44619,0.1,0.8941446510816968,117.84351023948888,-285.27837937311904
15.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.04923,0.12654,0.07063,0.22920,0.60607,0.00985,0.44619,0.1,0.8941446510816968,115.20797269623331,-279.8325162155568
16.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.18640,0.17063,0.11023,0.37420,0.46238,0.00985,0.62453,0.1,0.8941446510816968,115.20797269623331,-280.9134763643661
17.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.24459,0.14029,0.20186,0.37420,0.69823,0.01161,0.62453,0.1,0.7786611555524312,115.20797269623331,-282.0302524767749
18.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.24459,0.03884,0.12523,0.37420,0.69823,0.04663,0.70701,0.1,0.9049523943825815,115.20797269623331,-283.20247585719505
19.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.00059,0.05202,0.13697,0.04226,0.81847,0.04663,0.55315,0.1,0.9049523943825815,115.20797269623331,-283.0801951307523
20.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.17146,0.05202,0.13697,0.18123,0.71044,0.00059,0.80947,0.1,0.9340293618106188,115.20797269623331,-283.0545850155292
21.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.17146,0.06192,0.14489,0.30890,0.71044,0.00059,0.80947,0.1,0.9196851478569464,115.20797269623331,-282.51641320304196
